ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,296.25 ,EXTRA CARE HOUSING EXPENDITURE,V002398468
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,163.32 ,EXTRA CARE HOUSING EXPENDITURE,V002398469
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CHERISH UK LTD,04-Apr-25,"1,174.20 ",HOME CARE - ADULT SERVICES,V002398470
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CHERISH UK LTD,04-Apr-25,316.00 ,HOME CARE - ADULT SERVICES,V002398471
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CARE 4 U,04-Apr-25,399.92 ,HOME CARE - ADULT SERVICES,V002398472
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CARE 4 U,04-Apr-25,"1,320.10 ",HOME CARE - ADULT SERVICES,V002398473
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,79.00 ,EXTRA CARE HOUSING EXPENDITURE,V002398474
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,98.75 ,EXTRA CARE HOUSING EXPENDITURE,V002398475
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,THE RIVERSIDE GROUP  LTD,04-Apr-25,163.32 ,EXTRA CARE HOUSING EXPENDITURE,V002398476
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,DALE CARE AND SUPPORT LTD,04-Apr-25,113.78 ,HOME CARE - ADULT SERVICES,V002398477
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,DALE CARE AND SUPPORT LTD,04-Apr-25,407.16 ,HOME CARE - ADULT SERVICES,V002398478
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,POSSABILITIES CIC TRADING,04-Apr-25,542.88 ,HOME CARE - ADULT SERVICES,V002398479
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CHERISH UK LTD,04-Apr-25,614.36 ,HOME CARE - ADULT SERVICES,V002398480
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COTTAGE HOMECARE SERVICES,04-Apr-25,"3,680.05 ",HOME CARE - ADULT SERVICES,V002398481
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COTTAGE HOMECARE SERVICES,04-Apr-25,635.85 ,HOME CARE - ADULT SERVICES,V002398482
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CARE 4 U,04-Apr-25,878.79 ,HOME CARE - ADULT SERVICES,V002398483
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CARE 4 U,04-Apr-25,166.94 ,HOME CARE - ADULT SERVICES,V002398484
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,COMMUNITY CARE LINE SERVICES,04-Apr-25,"1,641.76 ",HOME CARE - ADULT SERVICES,V002398485
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,CALDERDALE HOMECARE LTD,04-Apr-25,317.58 ,HOME CARE - ADULT SERVICES,V002398486
ROCHDALE BOROUGH COUNCIL,04-Apr-25,ADULT CARE LCO FUNCTIONS,HOMECARE FOR YOU LTD,04-Apr-25,"1,244.78 ",HOME CARE - ADULT SERVICES,V002398487
